budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
2543252,Metro-Goldwyn-Mayer (MGM),USA,Janet Greek,Drama,1938049,Spellbinder,R,23-09-1988,99,NaN,Tim Daly,1633,Tracy Tormé,1988
8000000,Hemdale,USA,Harold Becker,Drama,784990,The Boost,R,23-12-1988,95,6.1,James Woods,1629,Ben Stein,1988
20000000,Universal Pictures,USA,Paul Mazursky,Comedy,11444204,Moon Over Parador,PG-13,09-09-1988,103,5.9,Richard Dreyfuss,4778,Charles G. Booth,1988
6000000,Touchstone Pictures,USA,John R. Cherry III,Comedy,28202109,Ernest Saves Christmas,PG,11-11-1988,95,5.6,Jim Varney,8513,Ed Turner,1988
827404,Atlantic Entertainment Group,UK,Chris Menges,Drama,2326900,A World Apart,PG,17-06-1988,100,7.1,Barbara Hershey,1234,Shawn Slovo,1988
3000000,Atlantic Entertainment Group,USA,James B. Harris,Crime,1884315,Cop,R,11-03-1988,110,6.4,James Woods,3419,James Ellroy,1988
1324124,"Movie Group, The",UK,David Green,Comedy,540000,Buster,R,23-11-1988,91,5.8,Phil Collins,2767,Colin Shindler,1988
4000000,Warner Bros.,USA,Joan Micklin Silver,Comedy,16262415,Crossing Delancey,PG,16-09-1988,97,6.9,Amy Irving,2935,Susan Sandler,1988
241512222,Working Title Films,UK,Bernard Rose,Drama,241278,Paperhouse,PG-13,17-02-1989,92,6.8,Charlotte Burke,4568,Catherine Storr,1988
1324552,MTM Enterprises,USA,Robert Mulligan,Drama,5194491,Clara's Heart,PG-13,07-10-1988,100,6.3,Whoopi Goldberg,1821,Joseph Olshan,1988
6000000,Shapiro-Glickenhaus Entertainment,USA,James Glickenhaus,Action,10068039,Shakedown,R,06-05-1988,93,5.9,Peter Weller,2087,James Glickenhaus,1988
19000000,Orion Pictures,USA,Michael Ritchie,Comedy,11005304,The Couch Trip,R,15-01-1988,97,5.7,Dan Aykroyd,3961,Ken Kolb,1988
2141452,Col.Ima.Son,France,René Laloux,Animation,370698,Gandahar,PG,02-03-1988,78,7.1,Glenn Close,3196,René Laloux,1988
8000000,Paramount Pictures,USA,Marisa Silver,Drama,1893139,Permanent Record,PG-13,22-04-1988,91,6.4,Alan Boyce,1550,Jarre Fees,1988
6000000,TriStar Pictures,Canada,Pen Densham,Drama,1869148,The Kiss,R,14-10-1988,101,5.5,Joanna Pacula,1258,Tom Ropelewski,1988
1412434,CB Films,France,Catherine Breillat,Romance,410109,36 fillette,Not specified,06-01-1989,88,6,Delphine Zentout,938,Catherine Breillat,1988
142425,Golan-Globus Productions,USA,William Tannen,Action,5301200,Hero and the Terror,R,26-08-1988,96,5.2,Chuck Norris,2626,Michael Blodgett,1988
22123,Warner Bros.,USA,Michael Dinner,Comedy,6436211,Hot to Trot,PG,26-08-1988,100,4.4,Bobcat Goldthwait,2666,Stephen Neigher,1988
7178738,New Visions,USA,Taylor Hackford,Drama,12638294,Everybody's All-American,R,04-11-1988,127,6.2,Jessica Lange,2558,Frank Deford,1988
827275,Sheen/Greenblatt Productions,West Germany,Leo Penn,Drama,229556,Judgement in Berlin,PG,06-05-1988,96,5.9,Martin Sheen,571,Herbert J. Stern,1988
 ,Vestron Pictures,USA,Roger Vadim,Comedy,717376,And God Created Woman,R,04-03-1988,100,4.3,Rebecca De Mornay,1487,R.J. Stewart,1988
89593,British Screen Productions,UK,Mike Leigh,Comedy,1192322,High Hopes,PG,24-02-1989,108,7.6,Ruth Sheen,3235,Mike Leigh,1988
14000000,Touchstone Pictures,USA,Leonard Nimoy,Drama,4764606,The Good Mother,R,04-11-1988,100,5.9,Diane Keaton,1361,Michael Bortman,1988
19000000,Cecchi Gori Group Tiger Cinematografica,USA,Blake Edwards,Crime,4594452,Sunset,R,29-04-1988,102,5.7,Bruce Willis,3333,Rod Amateau,1988
875095,Working Title Films,UK,Martin Stellman,Crime,191051,For Queen & Country,R,19-05-1989,105,5.7,Denzel Washington,1851,Martin Stellman,1988
20752,Virgin Vision,USA,Matthew Chapman,Drama,113275,Heart of Midnight,R,03-03-1989,93,5.3,Jennifer Jason Leigh,908,Matthew Chapman,1988
 ,Columbia Pictures Corporation,USA,Daniel Petrie,Drama,187349,Rocket Gibraltar,PG,02-09-1988,99,6.6,Burt Lancaster,1594,Amos Poe,1988
1000000,Cinema Group,USA,Rowdy Herrington,Crime,492519,Jack's Back,R,06-05-1988,97,6,James Spader,1968,Rowdy Herrington,1988
28729083,De Laurentiis Entertainment Group (DEG),USA,Bill Fishman,Comedy,343786,Tapeheads,R,21-10-1988,93,5.8,John Cusack,3411,Bill Fishman,1988
2702752,Compact Yellowbill,UK,Charles Sturridge,Drama,1560700,A Handful of Dust,PG,24-06-1988,100,6.8,James Wilby,1519,Derek Granger,1988
5000000,HandMade Films,UK,Nicolas Roeg,Drama,429028,Track 29,R,12-07-1988,100,5.9,Theresa Russell,1563,Dennis Potter,1988
8272908,Golan-Globus Productions,USA,Boaz Davidson,Romance,8892589,Salsa,PG,06-05-1988,98,4.9,Draco Rosa,900,Boaz Davidson,1988
4000000,No Frills Film Production,USA,Andrew Fleming,Horror,9797098,Bad Dreams,R,08-04-1988,84,5.6,Jennifer Rubin,2583,Andrew Fleming,1988
728273,Columbia Pictures Corporation,USA,Pat O'Connor,Comedy,111987,Stars and Bars,R,18-03-1988,94,4.8,Daniel Day-Lewis,689,William Boyd,1988
820978,United Artists,USA,David Beaird,Comedy,344375,It Takes Two,PG-13,13-07-1988,81,5.7,George Newbern,519,Richard Christian Matheson,1988
92752,Atlantic Entertainment Group,UK,Paul Schrader,Biography,1223326,Patty Hearst,R,23-09-1988,108,6.3,Natasha Richardson,1064,Patricia Hearst,1988
0,Warner Bros.,USA,Bud Yorkin,Comedy,14681192,Arthur 2: On the Rocks,PG,08-07-1988,113,4.3,Dudley Moore,5270,Steve Gordon,1988
8029892,Silver Screen Partners III,USA,Chris Columbus,Comedy,5509417,Heartbreak Hotel,PG-13,30-09-1988,97,5.7,David Keith,1017,Chris Columbus,1988
802972,MK2 Productions,France,Claude Chabrol,Drama,438483,Story of Women,Not specified,1990-02,108,7.6,Isabelle Huppert,3109,Colo Tavernier,1988
890725,Force 10 Productions (I),USA,Mark Rosenthal,Comedy,124880,The In Crowd,PG,1988-02,95,6.3,Jennifer Runyon,640,Lawrence Konner,1988
9000000,Metro-Goldwyn-Mayer (MGM),USA,Donald P. Bellisario,Action,426965,Last Rites,R,18-11-1988,103,5.2,Tom Berenger,867,Donald P. Bellisario,1988
30000000,"Cannon Group, The",USA,J. Lee Thompson,Action,3074681,Messenger of Death,R,21-10-1988,91,5.5,Charles Bronson,1806,Rex Burns,1988
4940895,Cannon International,,Aaron Norris,War,1348771,Platoon Leader,R,1988-10,97,5.4,Tony Pierce,1193,Andrew Deutsch,1988
87857826,Nelson Entertainment,USA,Alan Rudolph,Comedy,2011497,The Moderns,R,1988-05,126,6.7,Keith Carradine,1410,Alan Rudolph,1988
18000000,TriStar Pictures,USA,Ted Kotcheff,Comedy,9129999,Switching Channels,PG,04-03-1988,105,5.9,Kathleen Turner,2789,Ben Hecht,1988
8579,Caroline Productions,France,Claire Denis,Drama,2317091,Chocolat,PG-13,1989-05,105,7.4,Isaach De Bankolé,2217,Claire Denis,1988
NaN,Island Pictures,UK,Caleb Deschanel,Drama,315421,Crusoe,PG-13,31-03-1989,91,6.3,Aidan Quinn,759,Daniel Defoe,1988
652767,British Film Institute (BFI),UK,Terence Davies,Drama,688329,"Distant Voices, Still Lives",PG-13,18-11-1988,85,7.5,Pete Postlethwaite,2626,Terence Davies,1988
NaN,Incorporated Television Company (ITC),UK,Piers Haggard,Drama,462813,A Summer Story,PG-13,23-07-1988,95,7.5,Imogen Stubbs,738,John Galsworthy,1988
879636,Not specified,USA,Danny Bilson,Comedy,1152786,The Wrong Guys,PG,13-05-1988,100,5,Louie Anderson,637,Paul De Meo,1988
4444564,Twentieth Century Fox Film Corporation,USA,Christopher Crowe,Action,7242035,Off Limits,R,11-03-1988,102,6.2,Willem Dafoe,2154,Christopher Crowe,1988
8786727,Warner Bros.,USA,Daniel Goldberg,Comedy,3838793,Feds,PG-13,28-10-1988,90,5.3,Rebecca De Mornay,2530,Len Blum,1988
14000000,Orion Pictures,USA,Peter Yates,Thriller,459824,The House on Carroll Street,PG,04-03-1988,101,6.2,Kelly McGillis,1844,Walter Bernstein,1988
726878,United British Artists (UBA),UK,Francis Megahy,Action,159969,Taffin,R,26-02-1988,96,5.6,Pierce Brosnan,1194,David Ambrose,1988
7237827,Orion Pictures,USA,Robert M. Young,Drama,3076031,Dominick and Eugene,PG-13,28-09-1988,111,7.1,Tom Hulce,2409,Corey Blechman,1988
8720978,Jolly Russell Productions,UK,Ken Russell,Biography,331469,Salome's Last Dance,R,1988-06,89,6.7,Glenda Jackson,1110,Oscar Wilde,1988
13000000,Crescent Moon,USA,Peter Bogdanovich,Comedy,259019,Illegally Yours,PG,13-05-1988,102,4.2,Rob Lowe,734,Michael Kaplan,1988
8907283,Continental Film Group Ltd.,USA,Amin Q. Chaudhri,Drama,422667,Tiger Warsaw,R,12-05-1988,100,4.7,Patrick Swayze,615,Roy London,1988
9870987,Trans World Entertainment (TWE),USA,David Stevens,Crime,2432536,Kansas,R,23-09-1988,100,5.4,Matt Dillon,766,Spencer Eastman,1988
872875,Heritage Entertainment Inc.,USA,Danny Huston,Comedy,1221366,Mr. North,PG,22-07-1988,93,5.9,Anthony Edwards,1077,Thornton Wilder,1988
875287,Vestron Pictures,USA,Camilo Vila,Horror,6337299,The Unholy,R,22-04-1988,102,4.9,Ben Cross,1123,Philip Yordan,1988
787833,Braveworld Productions,USA,Gary Sinise,Action,188964,Miles from Home,R,16-09-1988,108,5.7,Richard Gere,1117,Chris Gerolmo,1988
9767299,Columbia Pictures Corporation,USA,David Mamet,Comedy,3527886,Things Change,PG,21-10-1988,100,7,Don Ameche,2644,David Mamet,1988
5000000,Cinetel Films,USA,Steve Carver,Action,807947,Bulletproof,R,04-03-1988,93,5,Gary Busey,1057,T.L. Lankford,1988
12000000,Metro-Goldwyn-Mayer (MGM),USA,Henry Winkler,Comedy,3965604,Memories of Me,PG-13,07-10-1988,100,5.7,Billy Crystal,789,Eric Roth,1988
0,Brightstar Films,USA,Robert Greenwald,Comedy,3790493,Sweet Hearts Dance,R,23-09-1988,100,5.7,Don Johnson,680,Ernest Thompson,1988
1600000,Cinetel Films,USA,Michael Schroeder,Comedy,419428,Out of the Dark,R,05-05-1989,89,5.4,Cameron Dye,593,J. Greg De Felice,1988
 ,Merchant Ivory Productions,UK,Nicholas Meyer,Adventure,346297,The Deceivers,PG-13,02-09-1988,102,6.1,Pierce Brosnan,795,John Masters,1988
7000000,Smart Egg Pictures,UK,Armand Mastroianni,Horror,136203,Cameron's Closet,R,13-01-1989,100,4.9,Cotter Smith,704,Gary Brandner,1988
637252,Arenafilm,Australia,Vincent Ward,Action,1333379,The Navigator: A Medieval Odyssey,PG,15-12-1988,90,7,Bruce Lyons,2661,Geoff Chapple,1988
729362,"Vista Organisation, The",USA,David Beaird,Comedy,169785,Pass the Ammo,R,04-03-1988,93,6.1,Bill Paxton,414,Joel Cohen,1988
16400000,Touchstone Pictures,USA,Peter Weir,Comedy,95860116,Dead Poets Society,PG,09-06-1989,128,8,Robin Williams,301100,Tom Schulman,1989
35000000,Warner Bros.,USA,Tim Burton,Action,251188924,Batman,PG-13,23-06-1989,126,7.6,Michael Keaton,288860,Bob Kane,1989
11500000,Paramount Pictures,USA,Mary Lambert,Horror,57469179,Pet Sematary,R,21-04-1989,103,6.6,Dale Midkiff,70178,Stephen King,1989
48000000,Paramount Pictures,USA,Steven Spielberg,Action,197171806,Indiana Jones and the Last Crusade,PG-13,24-05-1989,127,8.3,Harrison Ford,566432,Jeffrey Boam,1989
40000000,Walt Disney Pictures,NaN,Ron Clements,Animation,111543479,The Little Mermaid,G,17-11-1989,83,7.6,Jodi Benson,188455,John Musker,1989
55000000,Warner Bros.,USA,Andrey Konchalovskiy,Action,63408614,Tango & Cash,R,22-12-1989,104,6.3,Sylvester Stallone,81242,Randy Feldman,1989
17000000,Silver Pictures,USA,Rowdy Herrington,Action,30050028,Road House,R,19-05-1989,114,6.5,Patrick Swayze,47394,R. Lance Hill,1989
27000000,Warner Bros.,USA,Jeremiah S. Chechik,Comedy,71320000,National Lampoon's Christmas Vacation,PG-13,01-12-1989,97,7.6,Chevy Chase,115848,John Hughes,1989
10000000,De Laurentiis Entertainment Group (DEG),USA,Stephen Herek,Adventure,40485039,Bill & Ted's Excellent Adventure,PG,17-02-1989,90,6.9,Keanu Reeves,90901,Chris Matheson,1989
 NaN,Gordon Company,USA,Phil Alden Robinson,Drama,64431625,Field of Dreams,PG,05-05-1989,107,7.5,Kevin Costner,91800,W.P. Kinsella,1989
40000000,Universal Pictures,USA,Robert Zemeckis,Adventure,118500000,Back to the Future Part II,PG,22-11-1989,108,7.8,Michael J. Fox,377402,Robert Zemeckis,1989
70000000,Twentieth Century Fox Film Corporation,USA,James Cameron,Adventure,54461047,The Abyss,PG-13,09-08-1989,145,7.6,Ed Harris,140371,James Cameron,1989
15000000,Universal Pictures,USA,John Hughes,Comedy,66758538,Uncle Buck,PG,16-08-1989,100,7,John Candy,68231,John Hughes,1989
6500000,40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,27545445,Do the Right Thing,R,21-07-1989,120,7.9,Danny Aiello,65617,Spike Lee,1989
8375027,Gladden Entertainment,USA,Ted Kotcheff,Adventure,30218387,Weekend at Bernie's,PG-13,05-07-1989,97,6.4,Andrew McCarthy,40910,Robert Klane,1989
18000000,TriStar Pictures,USA,Edward Zwick,Biography,26830000,Glory,R,16-02-1990,122,7.9,Matthew Broderick,107207,Kevin Jarre,1989
16000000,Castle Rock Entertainment,USA,Rob Reiner,Comedy,92823600,When Harry Met Sally...,R,21-07-1989,96,7.6,Billy Crystal,161347,Nora Ephron,1989
6000000,TriStar Pictures,USA,Herbert Ross,Comedy,83759091,Steel Magnolias,PG,22-11-1989,117,7.2,Shirley MacLaine,37333,Robert Harling,1989
37000000,Columbia Pictures Corporation,USA,Ivan Reitman,Action,112494738,Ghostbusters II,PG,16-06-1989,108,6.5,Bill Murray,152597,Dan Aykroyd,1989
8740678,Gracie Films,USA,Cameron Crowe,Comedy,20781385,Say Anything...,PG-13,14-04-1989,100,7.4,John Cusack,70820,Cameron Crowe,1989
7500000,TriStar Pictures,USA,Amy Heckerling,Comedy,140088813,Look Who's Talking,PG-13,13-10-1989,93,5.8,John Travolta,67535,Amy Heckerling,1989
25000000,Filmauro,USA,George P. Cosmatos,Adventure,15704614,Leviathan,R,17-03-1989,98,5.8,Peter Weller,14315,David Webb Peoples,1989
18000000,Buena Vista Pictures,USA,Joe Johnston,Adventure,130724172,"Honey, I Shrunk the Kids",PG,23-06-1989,93,6.3,Rick Moranis,116845,Stuart Gordon,1989
11000000,Mirage Enterprises,USA,David S. Ward,Comedy,49797148,Major League,R,07-04-1989,107,7.2,Tom Berenger,52280,David S. Ward,1989
14000000,Ixtlan,USA,Oliver Stone,Biography,70001698,Born on the Fourth of July,R,05-01-1990,145,7.2,Tom Cruise,82727,Ron Kovic,1989
8783476,Columbia Pictures Corporation,USA,John G. Avildsen,Action,38956288,The Karate Kid Part III,PG,30-06-1989,112,5,Ralph Macchio,38560,Robert Mark Kamen,1989
8370786,Imagine Entertainment,USA,Joe Dante,Comedy,36602000,The 'Burbs,PG,17-02-1989,101,6.9,Tom Hanks,55800,Dana Olsen,1989
31000000,Imagine Entertainment,USA,Ron Howard,Comedy,100047830,Parenthood,PG-13,02-08-1989,124,7,Steve Martin,37913,Lowell Ganz,1989
28000000,Warner Bros.,USA,Richard Donner,Action,147253986,Lethal Weapon 2,R,07-07-1989,114,7.2,Mel Gibson,137637,Jeffrey Boam,1989
32000000,Danjaq,UK,John Glen,Action,34667015,Licence to Kill,PG-13,14-07-1989,133,6.6,Timothy Dalton,79153,Michael G. Wilson,1989
727836,Vision PDG,USA,Zalman King,Drama,11060485,Wild Orchid,R,27-04-1990,105,4.5,Mickey Rourke,9667,Patricia Louisianna Knop,1989
8286029,Ferndale Films,Ireland,Jim Sheridan,Biography,14743391,My Left Foot,R,30-03-1990,103,7.9,Daniel Day-Lewis,54654,Shane Connaughton,1989
7527882,Davis Entertainment,USA,Richard Greenberg,Adventure,NaN,Little Monsters,PG,25-08-1989,100,6.1,Fred Savage,8801,Terry Rossio,1989
31000000,Universal Pictures,USA,Steven Spielberg,Fantasy,43858790,Always,PG,22-12-1989,122,6.4,Richard Dreyfuss,23834,Jerry Belson,1989
1200000,Outlaw Productions (I),USA,Steven Soderbergh,Drama,24741700,"Sex, Lies, and Videotape",R,22-09-1989,100,7.2,James Spader,40625,Steven Soderbergh,1989
10000000,Norman Twain Productions,USA,John G. Avildsen,Drama,31906454,Lean on Me,PG-13,03-03-1989,108,7.4,Morgan Freeman,15445,Michael Schiffer,1989
7892598,Allarts,Netherlands,Peter Greenaway,Crime,7724701,"The Cook, the Thief, His Wife & Her Lover",NC-17,06-04-1990,124,7.6,Richard Bohringer,28906,Peter Greenaway,1989
27800000,Paramount Pictures,USA,William Shatner,Action,52210049,Star Trek V: The Final Frontier,PG,09-06-1989,107,5.4,William Shatner,47303,Gene Roddenberry,1989
7500000,"Zanuck Company, The",USA,Bruce Beresford,Drama,106593296,Driving Miss Daisy,PG,26-01-1990,99,7.4,Morgan Freeman,79478,Alfred Uhry,1989
10000000,David Foster Productions,USA,Graeme Clifford,Action,2777280,Gleaming the Cube,PG-13,13-01-1989,100,6.2,Christian Slater,5688,Michael Tolkin,1989
22500000,Columbia Pictures Corporation,USA,Brian De Palma,Crime,18671317,Casualties of War,R,18-08-1989,113,7.1,Michael J. Fox,35439,Daniel Lang,1989
872853,Trans World Entertainment (TWE),USA,Dorian Walker,Comedy,27843,Teen Witch,PG-13,28-04-1989,90,6.2,Robyn Lively,6711,Robin Menken,1989
18000000,TriStar Pictures,USA,Arthur Hiller,Comedy,46908987,"See No Evil, Hear No Evil",R,12-05-1989,103,6.8,Richard Pryor,40102,Earl Barret,1989
1500000,Kings Road Entertainment,USA,Mark DiSalle,Action,14697005,Kickboxer,R,08-09-1989,97,6.4,Jean-Claude Van Damme,40427,Mark DiSalle,1989
6000000,New Line Cinema,USA,Stephen Hopkins,Fantasy,22168359,A Nightmare on Elm Street 5: The Dream Child,R,11-08-1989,89,5.1,Robert Englund,32517,Wes Craven,1989
3000000,Magnum Pictures Inc.,USA,Dominique Othenin-Girard,Horror,11642254,Halloween 5,R,13-10-1989,96,5.2,Donald Pleasence,25314,John Carpenter,1989
NaN,Touchstone Pictures,USA,Roger Spottiswoode,Comedy,71079915,Turner & Hooch,PG,28-07-1989,97,6.1,Tom Hanks,52638,Dennis Shryack,1989
8830980,Kennedy Miller Productions,Australia,Phillip Noyce,Horror,7825009,Terror a bordo,R,07-04-1989,,6.8,Nicole Kidman,31343,Terry Hayes,1989
5000000,Paramount Pictures,USA,Rob Hedden,Adventure,14343976,Friday the 13th Part VIII: Jason Takes Manhattan,R,28-07-1989,100,4.6,Jensen Daggett,25441,Rob Hedden,1989
30000000,Eddie Murphy Productions,USA,Eddie Murphy,Comedy,60864870,Harlem Nights,R,17-11-1989,116,5.9,Eddie Murphy,15602,Eddie Murphy,1989
30000000,Paramount Pictures,USA,Ridley Scott,Action,46212055,Black Rain,R,22-09-1989,125,6.6,Michael Douglas,42038,Craig Bolotin,1989
13800000,Goldcrest Films International,Ireland,Don Bluth,Animation,27100027,All Dogs Go to Heaven,G,17-11-1989,84,6.7,Dom DeLuise,29118,Don Bluth,1989
500000,Cannon Entertainment,USA,Albert Pyun,Action,10166459,Cyborg,R,07-04-1989,86,5,Jean-Claude Van Damme,24943,Albert Pyun,1989
8000000,Universal Pictures,USA,Michael Ritchie,Comedy,35150960,Fletch Lives,PG,17-03-1989,95,6.1,Chevy Chase,16426,Gregory McDonald,1989
6000000,Finnegan/Pinchuk Productions,USA,Todd Holland,Adventure,14278900,The Wizard,PG,15-12-1989,96,6,Fred Savage,11308,David Chisholm,1989
9093589,Twentieth Century Fox Film Corporation,USA,Danny DeVito,Comedy,86888546,The War of the Roses,R,08-12-1989,116,6.8,Michael Douglas,40673,Warren Adler,1989
9000000,Renaissance Films,UK,Kenneth Branagh,Action,10161099,Henry V,PG-13,08-11-1989,137,7.7,Kenneth Branagh,24726,William Shakespeare,1989
18000000,Fries Entertainment,USA,Jeff Kanew,Adventure,8508843,Troop Beverly Hills,PG,24-03-1989,105,5.5,Shelley Long,7942,Ava Ostern Fries,1989
19000000,Universal Pictures,USA,Harold Becker,Crime,58571513,Sea of Love,R,15-09-1989,113,6.8,Al Pacino,32138,Richard Price,1989
5000000,"Movie Group, The",USA,Robert Radler,Action,1700000,Best of the Best,PG-13,10-11-1989,97,6.4,Eric Roberts,10215,Phillip Rhee,1989
9000000,Brooksfilms,USA,Chris Walas,Horror,20021322,The Fly II,R,10-02-1989,105,4.9,Eric Stoltz,18023,Mick Garris,1989
6000006,Lightning Pictures,USA,Kathryn Bigelow,Action,8220000,Blue Steel,R,16-03-1990,102,5.6,Jamie Lee Curtis,9921,Kathryn Bigelow,1989
7000000,Crescent Film Enterprises,USA,Joan Micklin Silver,Comedy,3960327,Loverboy,PG-13,28-04-1989,98,5.9,Patrick Dempsey,5949,Robin Schiff,1989
33000000,Renn Productions,France,Milos Forman,Drama,1132112,Valmont relaciones peligrosas,R,17-11-1989,137,7,Colin Firth,10789,Choderlos de Laclos,1989
2500000,Avenue Pictures,USA,Gus Van Sant,Crime,4729352,Drugstore Cowboy,R,20-10-1989,102,7.4,Matt Dillon,26923,James Fogle,1989
732857,"Deseo, El",Spain,Pedro Almodóvar,Comedy,4087361,Tie Me Up! Tie Me Down!,NC-17,12-04-1990,101,7,Victoria Abril,19654,Pedro Almodóvar,1989
87098589,Lightning Pictures,USA,Marc Rocco,Comedy,5552441,Dream a Little Dream,PG-13,03-03-1989,114,5.9,Corey Feldman,5231,Daniel Jay Franklin,1989
7000000,New World Pictures,USA,Steve Miner,Action,9094451,Warlock,R,11-01-1991,103,6.2,Julian Sands,12449,David Twohy,1989
35000000,TMS Entertainment,Japan,Masami Hata,Family,1368210,Little Nemo: Adventures in Slumberland,G,21-08-1992,85,7.2,Gabriel Damon,5800,Chris Columbus,1989
8728292,Alliance Communications Corporation,Canada,Jean-Claude Lord,Drama,536508,Eddie and the Cruisers II: Eddie Lives!,PG-13,18-08-1989,99,6.2,Michael Paré,2273,P.F. Kluge,1989
24000000,White Eagle,USA,John Flynn,Crime,22099847,Lock Up,R,04-08-1989,109,6.4,Sylvester Stallone,32079,Richard Smith,1989
3000000,High Bar Productions,USA,Jim Wheat,Horror,76325,After Midnight,R,03-11-1989,90,5.6,Jillian McWhirter,1173,Ken Wheat,1989
8972387,First Millenium Partnership,USA,Michael Anderson,Drama,5777099,Millennium,PG-13,25-08-1989,108,5.7,Kris Kristofferson,5238,John Varley,1989
5000000,Cinecorp SAC,USA,Jay Levey,Comedy,6157157,UHF,PG-13,21-07-1989,97,7,'Weird Al' Yankovic,22399,'Weird Al' Yankovic,1989
13000000,Gladden Entertainment,USA,Steve Kloves,Drama,16823529,The Fabulous Baker Boys,R,13-10-1989,114,6.8,Jeff Bridges,18751,Steve Kloves,1989
5000000,Palace Pictures,UK,Zelda Barron,Comedy,6957975,Shag,PG,21-07-1989,98,6.3,Phoebe Cates,3203,Lanier Laney,1989
19000000,Jack Rollins & Charles H. Joffe Productions,USA,Woody Allen,Comedy,18254702,Crimes and Misdemeanors,PG-13,03-11-1989,104,8,Martin Landau,46269,Woody Allen,1989
2800000,JVC Entertainment Networks,USA,Jim Jarmusch,Comedy,367879,Mystery Train,R,17-11-1989,110,7.6,Masatoshi Nagase,20241,Jim Jarmusch,1989
8758290,Orion Pictures,USA,Jim McBride,Biography,13741060,Great Balls of Fire!,PG-13,30-06-1989,108,6.2,Dennis Quaid,13448,Myra Lewis,1989
8000000,Carolco Entertainment,USA,Sean S. Cunningham,Action,8143225,DeepStar Six,R,13-01-1989,105,5.2,Greg Evigan,7701,Lewis Abernathy,1989
5000000,Alive Films,USA,Wes Craven,Comedy,16554699,Shocker,R,27-10-1989,109,5.4,Michael Murphy,12181,Wes Craven,1989
15000000,Touchstone Pictures,USA,Francis Veber,Action,40590000,Three Fugitives,PG-13,27-01-1989,96,6.1,Nick Nolte,9199,Francis Veber,1989
87258092,Paramount Pictures,UK,Lewis Gilbert,Comedy,6353913,Shirley Valentine,R,30-08-1989,108,7.2,Pauline Collins,5718,Willy Russell,1989
10000000,TriStar Pictures,USA,Phillip Noyce,Action,2692037,Blind Fury,R,16-03-1990,86,6.3,Rutger Hauer,11576,Ryôzô Kasahara,1989
12000000,Lorimar Film Entertainment,USA,John Irvin,Action,15942628,Next of Kin,R,20-10-1989,108,5.7,Patrick Swayze,7644,Michael Jenning,1989
15000000,Touchstone Pictures,USA,Woody Allen,Comedy,10763469,New York Stories,PG,10-03-1989,124,6.4,Woody Allen,14652,Richard Price,1989
10000000,Empire Pictures,USA,Stuart Gordon,Action,1272977,Robot Jox,PG,21-11-1990,85,5.3,Gary Graham,4665,Stuart Gordon,1989
15000000,Universal Pictures,USA,Howard Zieff,Comedy,28890240,The Dream Team,PG-13,07-04-1989,113,6.5,Michael Keaton,10768,Jon Connolly,1989
98295,Orion Pictures,USA,Susan Seidelman,Comedy,15351421,She-Devil,PG-13,08-12-1989,99,5.5,Meryl Streep,13531,Fay Weldon,1989
4000000,Lightyear Entertainment,USA,Jim Wynorski,Sci-Fi,192816,The Return of Swamp Thing,PG-13,12-05-1989,84,4.5,Dick Durock,3054,Len Wein,1989
 ,TriStar Pictures,USA,Sidney Lumet,Crime,12195695,Family Business,R,15-12-1989,110,5.7,Sean Connery,10221,Vincent Patrick,1989
20000000,Paramount Pictures,USA,Neil Jordan,Comedy,10555348,We're No Angels,PG-13,15-12-1989,106,6,Robert De Niro,18558,David Mamet,1989
16000000,TriStar Pictures,USA,Emile Ardolino,Comedy,16278590,Chances Are,PG,10-03-1989,108,6.4,Cybill Shepherd,9105,Perry Howze,1989
20000000,Carolco Pictures,USA,Walter Hill,Crime,7237794,Johnny Handsome,R,29-09-1989,94,6.1,Mickey Rourke,7483,John Godey,1989
17000000,Gordon Company,USA,Rod Daniel,Action,43247647,K-9,PG-13,28-04-1989,101,6,Jim Belushi,27310,Steven Siegel,1989
807592,British Screen Productions,UK,Michael Caton-Jones,Drama,8800000,Scandal,R,28-04-1989,115,6.5,John Hurt,3972,Michael Thomas,1989
8750575,21st Century Film Corporation,USA,Dwight H. Little,Drama,3953745,The Phantom of the Opera,R,03-11-1989,93,5.5,Robert Englund,3032,Gaston Leroux,1989
0,Paramount Pictures,USA,Roland Joffé,Biography,3563162,Fat Man and Little Boy,PG-13,20-10-1989,127,6.5,Paul Newman,5811,Bruce Robinson,1989
8759075,Interscope Communications,USA,Peter Yates,Action,20047604,An Innocent Man,R,06-10-1989,113,6.4,Tom Selleck,5088,Larry Brothers,1989
19000000,Malpaso Productions,USA,Buddy Van Horn,Action,12143484,Pink Cadillac,PG-13,26-05-1989,122,5.3,Clint Eastwood,9301,John Eskow,1989
0,Weintraub Entertainment Group,USA,Stan Dragoti,Comedy,12065892,She's Out of Control,PG,14-04-1989,90,5.3,Tony Danza,3316,Seth Winston,1989
 NaN,TriStar Pictures,USA,Paul Flaherty,Comedy,10982364,Who's Harry Crumb?,PG-13,03-02-1989,94,5.8,John Candy,13375,Robert Conte,1989
8000000,New Line Cinema,USA,Thomas J. Wright,Action,16093651,No Holds Barred,PG-13,02-06-1989,93,4.3,Hulk Hogan,4966,Dennis Hackin,1989
